ticker,sector
AMD,Information Technology
ARE,Real Estate
CBOE,Financials
DISH,Communication Services
IDXX,Health Care
INCY,Health Care
REG,Real Estate
RJF,Financials
SNPS,Information Technology
ALGN,Health Care
ANSS,Information Technology
DXC,Information Technology
HLT,Consumer Discretionary
IT,Information Technology
AOS,Industrials
BHF,Financials
CDNS,Information Technology
IQV,Health Care
MGM,Consumer Discretionary
PKG,Materials
RMD,Health Care
SBAC,Real Estate
NCLH,Consumer Discretionary
HII,Industrials
IPGP,Information Technology
NKTR,Health Care
TTWO,Communication Services
ABMD,Health Care
BR,Industrials
EVRG,Utilities
MSCI,Financials
ANET,Information Technology
CPRT,Industrials
FLT,Financials
CE,Materials
FANG,Energy
FTNT,Information Technology
JKHY,Financials
KEYS,Information Technology
LIN,Materials
LW,Consumer Staples
ROL,Industrials
ATO,Utilities
TFX,Health Care
WAB,Industrials
AMCR,Materials
CTVA,Materials
LHX,Industrials
MKTX,Financials
CDW,Information Technology
GL,Financials
IEX,Industrials
LDOS,Industrials
TMUS,Communication Services
BKR,Energy
J,Industrials
LVS,Consumer Discretionary
LYV,Communication Services
NOW,Information Technology
NVR,Consumer Discretionary
ODFL,Industrials
PEAK,Real Estate
STE,Health Care
TFC,Financials
WRB,Financials
ZBRA,Information Technology
CARR,Industrials
OTIS,Industrials
PAYC,Information Technology
RTX,Industrials
TT,Industrials
BIO,Health Care
DPZ,Consumer Discretionary
DXCM,Health Care
HWM,Industrials
TDY,Information Technology
TYL,Information Technology
WST,Health Care
CTLT,Health Care
ETSY,Consumer Discretionary
LUMN,Communication Services
TER,Information Technology
POOL,Consumer Discretionary
TSLA,Consumer Discretionary
VNT,Industrials
VTRS,Health Care
CZR,Consumer Discretionary
ENPH,Information Technology
GNRC,Industrials
MPWR,Information Technology
NXPI,Information Technology
PENN,Consumer Discretionary
TRMB,Information Technology
CRL,Health Care
MRNA,Health Care
OGN,Health Care
PTC,Information Technology
BBWI,Consumer Discretionary
BRO,Financials
CDAY,Information Technology
MTCH,Communication Services
TECH,Health Care
CTRA,Energy
EPAM,Information Technology
FDS,Financials
SBNY,Financials
SEDG,Information Technology
CEG,Utilities
CPT,Real Estate
MOH,Health Care
NDSN,Industrials
PARA,Communication Services
WTW,Financials
BALL,Materials
META,Communication Services
ON,Information Technology
VICI,Real Estate
WBD,Communication Services
CSGP,Industrials
ELV,Health Care
INVH,Real Estate
ACGL,Financials
GEN,Information Technology
TRGP,Energy
BG,Consumer Staples
FICO,Information Technology
GEHC,Health Care
PODD,Health Care
STLD,Materials
AXON,Industrials
EG,Financials
FI,Financials
PANW,Information Technology
RVTY,Health Care
